validated_at,commodity,title,source,published_date,link,predicted_label,correct_label,is_correct,is_relevant,predicted_score
2026-05-14T08:34:27,niquel,"With the penny gone, should you start stocking up on nickels?",The Hill,08/02/2026,https://thehill.com/homenews/nexstar_media_wire/5725579-with-the-penny-gone-should-you-start-stocking-up-on-nickels/,neutro,neutro,TRUE,,0
2026-05-14T08:34:27,niquel,The hidden environmental cost of anti-wrinkle injections,The Conversation,14/11/2025,https://theconversation.com/the-hidden-environmental-cost-of-anti-wrinkle-injections-266926,alcista,neutro,FALSE,,0.2
2026-05-14T08:34:27,niquel,"Metals Generally Rose; LME Tin, LME Nickel, COMEX Gold, COMEX Silver, Coking Coal and Coke Up Over 1%; Polysilicon Up Over 5%; SHFE Silver Led Declines [SMM Midday Review]",Shanghai Metals Market,21/04/2026,https://news.metal.com/en/newscontent/103869286-Metals-Generally-Rose-LME-Tin-LME-Nickel-COMEX-Gold-COMEX-Silver-Coking-Coal-and-Coke-Up-Over-1-Polysilicon-Up-Over-5-SH,alcista,alcista,TRUE,,0.8
2026-05-14T08:34:27,niquel,The Penny Shortage: Strategies for Retailers,CliftonLarsonAllen (CLA),18/12/2025,https://www.claconnect.com/en/resources/articles/25/retail-strategies-for-penny-shortage,neutro,alcista,FALSE,,0
2026-05-14T08:34:27,niquel,Canada's Nickel Processing Innovation for Clean Energy,Discovery Alert,12/11/2025,https://discoveryalert.com.au/canada-nickel-processing-revolution-global-clean-energy-2025/,alcista,alcista,TRUE,,0.8
2026-05-14T08:34:27,niquel,"LX International seeks to acquire nickel, copper mines in Indonesia",KED Global,07/02/2025,https://www.kedglobal.com/corporate-investment/newsView/ked202502070006,bajista,neutro,FALSE,,-0.2
2026-05-14T08:34:27,niquel,"Sensex Today Rallies 676 Points | Nifty Above 24,850 | 3 Reasons Why Indian Share Markets Are Rising",Equitymaster,18/08/2025,https://www.equitymaster.com/indian-share-markets/08/18/2025/Sensex-Today-Rallies-676-Points--Nifty-Above-24850--3-Reasons-Why-Indian-Share-Markets-Are-Rising,alcista,alcista,TRUE,,0.6
2026-05-14T08:34:27,niquel,Singapore coins minting money for some collectors,The Straits Times,07/03/2026,https://www.straitstimes.com/singapore/singapore-coins-minting-money-for-some-collectors,alcista,neutro,FALSE,,0.4
2026-05-14T08:34:27,niquel,LME nickel prices hit 18-month high on Indonesian supply concerns,BigMint,22/01/2026,https://www.bigmint.co/intel/detail/lme-nickel-prices-hit-18-month-high-on-indonesian-supply-concerns-35602,alcista,alcista,TRUE,,0.4
2026-05-14T08:34:27,niquel,First Atlantic Nickel Renames Atlantic Nickel Project to Pipestone XL to Reflect 100% Ownership of 30 km Pipestone Ophiolite Complex and Provides Updates on RPM Phase 2x Program,Yahoo Finance,24/09/2025,https://finance.yahoo.com/news/first-atlantic-nickel-renames-atlantic-100000609.html,bajista,neutro,FALSE,,-0.2
2026-05-14T09:44:43,petroleo,Saudis Keep Main Oil Price to Asia Unchanged in Sign of Caution,Bloomberg.com,06/10/2025,https://www.bloomberg.com/news/articles/2025-10-06/saudis-leave-main-crude-oil-price-to-asia-unchanged-for-november,bajista,neutro,FALSE,TRUE,-0.4
2026-05-14T09:44:43,petroleo,Oil prices surge as concerns of US strike on Iran mount,Upstream Online,29/01/2026,https://www.upstreamonline.com/energy-security/oil-prices-surge-as-concerns-of-us-strike-on-iran-mount/2-1-1936365,alcista,alcista,TRUE,TRUE,0.8
2026-05-14T09:44:43,petroleo,Oil prices edge lower at end of 2025 on strong dollar and oversupply concerns,Anadolu Ajansı,31/12/2025,https://www.aa.com.tr/en/energy/oil/oil-prices-edge-lower-at-end-of-2025-on-strong-dollar-and-oversupply-concerns/53756,bajista,bajista,TRUE,TRUE,-0.8
2026-05-14T09:44:43,petroleo,Earnings show why big oil isn't eager to go all-in on Venezuela,Marketplace.org,30/01/2026,https://www.marketplace.org/story/2026/01/30/earnings-show-why-big-oil-isnt-eager-to-go-allin-on-venezuela,bajista,bajista,TRUE,TRUE,-0.8
2026-05-14T09:44:43,petroleo,Why Big Oil Is Still Gushing Profits Despite Low Oil Prices,Crude Oil Prices Today | OilPrice.com,12/11/2025,https://oilprice.com/Energy/Crude-Oil/Why-Big-Oil-Is-Still-Gushing-Profits-Despite-Low-Oil-Prices.html,bajista,bajista,TRUE,TRUE,-0.4
2026-05-14T09:44:43,petroleo,Crude Oil Market Jumps 2% on IEA Assurance,Business Post Nigeria,12/07/2025,https://businesspost.ng/economy/crude-oil-market-jumps-2-on-iea-assurance/,alcista,alcista,TRUE,TRUE,0.25
2026-05-14T09:44:43,petroleo,The oil crisis fuelled by Russia’s war is evaporating – and so are the profits,The Guardian,25/01/2025,https://www.theguardian.com/business/2025/jan/25/the-oil-crisis-fuelled-by-russias-war-is-evaporating-and-so-are-the-profits,bajista,bajista,TRUE,TRUE,-0.8
2026-05-14T09:44:43,petroleo,"Reasons for YTD TASI drop; key grabs, challenges going forward: Alawwal Capital",أرقام,14/09/2025,https://www.argaam.com/en/article/articledetail/id/1842984,bajista,bajista,TRUE,TRUE,-0.8
2026-05-14T09:44:43,petroleo,Oil Prices Climb on Geopolitical Tensions in Europe and the Middle East,Crude Oil Prices Today | OilPrice.com,22/09/2025,https://oilprice.com/Latest-Energy-News/World-News/Oil-Prices-Climb-on-Geopolitical-Tensions-in-Europe-and-the-Middle-East.html,alcista,alcista,TRUE,TRUE,0.5
2026-05-14T09:44:43,petroleo,Crude Oil Weekly Forecast 14/12: Support Challenge (Chart),DailyForex,14/12/2025,https://www.dailyforex.com/forex-technical-analysis/2025/12/crude-oil-weekly-forecast-14th-to-19th-december-2025/238409,bajista,bajista,TRUE,TRUE,-0.4
